"path","api_class","with_http_info","request_model","response_model","note","implemented","request_strong","response_strong"
"/v1/account/connect","IAccountApi","AccountConnectWithHttpInfo","ConnectRequest","ConnectResponse","","","",""
"/v1/account/delete","IAccountApi","AccountDeleteWithHttpInfo","","json::Value","","","",""
"/v1/account/delete_connect_data","IAccountApi","AccountDeleteConnectDataWithHttpInfo","DeleteConnectDataRequest","DeleteConnectDataResponse","","","",""
"/v1/account/get_connect_data","IAccountApi","AccountGetConnectDataWithHttpInfo","","GetConnectDataResponse","","","",""
"/v1/account/get_connect_user","IAccountApi","AccountGetConnectUserWithHttpInfo","GetConnectUserRequest","GetConnectUserResponse","","","",""
"/v1/account/set_connect_data","IAccountApi","AccountSetConnectDataWithHttpInfo","SetConnectDataRequest","SetConnectDataResponse","","","",""
"/v1/activity_record/get_top","IActivityRecordApi","ActivityRecordGetTopWithHttpInfo","","GetTopResponse","","","",""
"/v1/activity_record/notify_month_displayed","IActivityRecordApi","ActivityRecordNotifyMonthDisplayedWithHttpInfo","NotifyMonthDisplayedRequest","json::Value","","","",""
"/v1/activity_record/play_adv_data","IActivityRecordApi","ActivityRecordPlayAdvDataWithHttpInfo","PlayAdvDataRequest","PlayAdvDataResponse","","","",""
"/v1/activity_record/set_watchable_status","IActivityRecordApi","ActivityRecordSetWatchableStatusWithHttpInfo","SetWatchableStatusRequest","SetWatchableStatusResponse","","","",""
"/v1/announce/detail","IAnnounceApi","AnnounceDetailWithHttpInfo","AnnounceDetailRequest","AnnounceDetailResponse","","","",""
"/v1/announce/list","IAnnounceApi","AnnouncesListWithHttpInfo","AnnounceListRequest","AnnounceListResponse","","","",""
"/v1/archive/get_archive_list","IArchiveApi","ArchiveGetArchiveListWithHttpInfo","GetArchiveListRequest","GetArchiveListResponse","","","",""
"/v1/archive/get_channel_list","IArchiveApi","ArchiveGetChannelListWithHttpInfo","","GetChannelListResponse","","","",""
"/v1/archive/get_channel_movie_list","IArchiveApi","ArchiveGetChannelMovieListWithHttpInfo","GetChannelMovieListRequest","GetChannelMovieListResponse","","","",""
"/v1/archive/get_fes_archive_data","IArchiveApi","ArchiveGetFesArchiveDataWithHttpInfo","GetFesArchiveDataRequest","GetFesArchiveDataResponse","","","",""
"/v1/archive/get_fes_timeline_data","IArchiveApi","ArchiveGetFesTimelineDataWithHttpInfo","GetFesTimelineDataRequest","GetFesTimelineDataResponse","","","",""
"/v1/archive/get_home","IArchiveApi","ArchiveGetHomeWithHttpInfo","","GetHomeResponse","","","",""
"/v1/archive/get_season_list","IArchiveApi","ArchiveGetSeasonListWithHttpInfo","","GetSeasonListResponse","","","",""
"/v1/archive/get_with_archive_data","IArchiveApi","ArchiveGetWithArchiveDataWithHttpInfo","GetWithArchiveDataRequest","GetWithArchiveDataResponse","","","",""
"/v1/archive/set_cancel_recommend_channel","IArchiveApi","ArchiveSetCancelRecommendChannelWithHttpInfo","SetCancelRecommendChannelRequest","ArchiveCommonResponse","","","",""
"/v1/archive/set_fes_camera","IArchiveApi","ArchiveSetFesCameraWithHttpInfo","SetFesCameraRequest","SetFesCameraResponse","","","",""
"/v1/archive/set_purchase_ticket","IArchiveApi","ArchiveSetPurchaseTicketWithHttpInfo","SetPurchaseTicketRequest","ArchiveCommonResponse","","","",""
"/v1/archive/set_recommend_channel","IArchiveApi","ArchiveSetRecommendChannelWithHttpInfo","SetRecommendChannelRequest","ArchiveCommonResponse","","","",""
"/v1/archive/withlive_gift","IArchiveApi","ArchiveWithliveGiftWithHttpInfo","ArchiveWithliveGiftRequest","ArchiveWithliveGiftResponse","","","",""
"/v1/archive/withlive_info","IArchiveApi","ArchiveWithliveInfoWithHttpInfo","string liveId, int? playTimeSecond, long? timelineUnixtime","ArchiveWithliveInfoResponse","","","",""
"/v1/archive/withlive_prize","IArchiveApi","ArchiveWithlivePrizeWithHttpInfo","string presentBoxId","ArchiveWithlivePrizeResponse","","","",""
"/v1/archive/withlive_stars","IArchiveApi","ArchiveWithliveStarsPostWithHttpInfo","ArchiveWithliveStarsPostRequest","json::Value","","","",""
"/v1/beginner_mission/get_list","IMissionApi","BeginnerMissionGetListWithHttpInfo","","BeginnerMissionGetListResponse","","","",""
"/v1/beginner_mission/set_banner_reward","IMissionApi","BeginnerMissionSetBannerRewardWithHttpInfo","BeginnerMissionSetBannerRewardRequest","json::Value","","","",""
"/v1/beginner_mission/set_reward","IMissionApi","BeginnerMissionSetRewardWithHttpInfo","BeginnerMissionSetRewardRequest","json::Value","","","",""
"/v1/beginner_mission/set_reward_all","IMissionApi","BeginnerMissionSetRewardAllWithHttpInfo","BeginnerMissionSetRewardAllRequest","BeginnerMissionSetRewardAllResponse","","","",""
"/v1/box_event/get_top_info","IBoxEventApi","BoxEventGetTopInfoWithHttpInfo","int? boxEventSeriesId","BoxEventGetTopInfoResponse","","","",""
"/v1/box_event/set_drop_box","IBoxEventApi","BoxEventSetDropBoxWithHttpInfo","BoxEventSetDropBoxRequest","BoxEventSetDropBoxResponse","","","",""
"/v1/box_event/set_special_reward","IBoxEventApi","BoxEventSetSpecialRewardWithHttpInfo","BoxEventSetSpecialRewardRequest","BoxEventSetSpecialRewardResponse","","","",""
"/v1/circle/get_chat_log_list","ICircleApi","CircleGetChatLogListWithHttpInfo","long? diffOrderId, bool? isItemRequest, long? alreadyReadOrderId","CircleGetChatLogListResponse","","","",""
"/v1/circle/get_circle_top_info","ICircleApi","CircleTopGetInfoWithHttpInfo","","CircleTopGetInfoResponse","","","",""
"/v1/circle/get_detail","ICircleApi","CircleGetDetailWithHttpInfo","CircleGetDetailRequest","CircleGetDetailResponse","","","",""
"/v1/circle/get_info","ICircleApi","CircleGetInfoWithHttpInfo","CircleGetInfoRequest","CircleGetInfoResponse","","","",""
"/v1/circle/get_invite_and_join_info","ICircleApi","CircleGetInviteAndJoinInfoWithHttpInfo","CircleGetInviteAndJoinInfoRequest","CircleGetInviteAndJoinInfoResponse","","","",""
"/v1/circle/get_invite_list","ICircleApi","CircleGetInviteListWithHttpInfo","","CircleGetInviteListResponse","","","",""
"/v1/circle/get_list","ICircleApi","CircleGetListWithHttpInfo","CircleGetListRequest","CircleGetListResponse","","","",""
"/v1/circle/set_approve_invite","ICircleApi","CircleSetApproveInviteWithHttpInfo","CircleSetApproveInviteRequest","CircleSetApproveInviteResponse","","","",""
"/v1/circle/set_approve_join","ICircleApi","CircleSetApproveJoinWithHttpInfo","CircleSetApproveJoinRequest","CircleSetApproveJoinResponse","","","",""
"/v1/circle/set_cancel_invite","ICircleApi","CircleSetCancelInviteWithHttpInfo","CircleSetCancelInviteRequest","CircleSetCancelInviteResponse","","","",""
"/v1/circle/set_cancel_join","ICircleApi","CircleSetCancelJoinWithHttpInfo","CircleSetCancelJoinRequest","CircleSetCancelJoinResponse","","","",""
"/v1/circle/set_chat_message","ICircleApi","CircleSetChatMessageWithHttpInfo","CircleSetChatMessageRequest","CircleSetChatMessageResponse","","","",""
"/v1/circle/set_create","ICircleApi","CircleSetCreateWithHttpInfo","CircleSetCreateRequest","CircleSetCreateResponse","","","",""
"/v1/circle/set_dismissal","ICircleApi","CircleSetDismissalWithHttpInfo","CircleSetDismissalRequest","CircleSetDismissalResponse","","","",""
"/v1/circle/set_dissolution","ICircleApi","CircleSetDissolutionWithHttpInfo","","CircleSetDissolutionResponse","","","",""
"/v1/circle/set_donation","ICircleApi","CircleSetDonationWithHttpInfo","CircleSetDonationRequest","CircleSetDonationResponse","","","",""
"/v1/circle/set_expulsion","ICircleApi","CircleSetExpulsionWithHttpInfo","CircleSetExpulsionRequest","CircleSetExpulsionResponse","","","",""
"/v1/circle/set_invite","ICircleApi","CircleSetInviteWithHttpInfo","CircleSetInviteRequest","CircleSetInviteResponse","","","",""
"/v1/circle/set_item_request","ICircleApi","CircleSetItemRequestWithHttpInfo","CircleSetItemRequestRequest","CircleSetItemRequestResponse","","","",""
"/v1/circle/set_join","ICircleApi","CircleSetJoinWithHttpInfo","CircleSetJoinRequest","CircleSetJoinResponse","","","",""
